individual,marqueur,LPS,saliva,pilo,mesure,relative activation 
1973,MHCII,Without LPS,0,NO,5178,0.0
1973,MHCII,Without LPS,0,YES,3031,-41.5
1973,MHCII,Without LPS,31.25,NO,7046,36.1
1973,MHCII,Without LPS,62.5,NO,3794,-26.7
1973,MHCII,Without LPS,125,NO,5483,5.9
1973,MHCII,Without LPS,250,NO,4445,-14.2
1973,CD40,Without LPS,0,NO,527,0.0
1973,CD40,Without LPS,0,YES,479,-9.1
1973,CD40,Without LPS,31.25,NO,997,89.2
1973,CD40,Without LPS,62.5,NO,755,43.3
1973,CD40,Without LPS,125,NO,935,77.4
1973,CD40,Without LPS,250,NO,672,27.5
1973,CD80,Without LPS,0,NO,174,0.0
1973,CD80,Without LPS,0,YES,142,-18.4
1973,CD80,Without LPS,31.25,NO,204,17.2
1973,CD80,Without LPS,62.5,NO,188,8.0
1973,CD80,Without LPS,125,NO,234,34.5
1973,CD80,Without LPS,250,NO,181,4.0
1973,CD86,Without LPS,0,NO,1434,0.0
1973,CD86,Without LPS,0,YES,448,-68.8
1973,CD86,Without LPS,31.25,NO,1416,-1.3
1973,CD86,Without LPS,62.5,NO,1222,-14.8
1973,CD86,Without LPS,125,NO,7250,405.6
1973,CD86,Without LPS,250,NO,914,-36.3
9567,MHCII,Without LPS,0,NO,4110,0.0
9567,MHCII,Without LPS,0,YES,5119,24.5
9567,MHCII,Without LPS,31.25,NO,3693,-10.1
9567,MHCII,Without LPS,62.5,NO,2952,-28.2
9567,MHCII,Without LPS,125,NO,2245,-45.4
9567,MHCII,Without LPS,250,NO,NA,NA
9567,CD40,Without LPS,0,NO,344,0.0
9567,CD40,Without LPS,0,YES,341,-0.9
9567,CD40,Without LPS,31.25,NO,510,48.3
9567,CD40,Without LPS,62.5,NO,515,49.7
9567,CD40,Without LPS,125,NO,534,55.2
9567,CD40,Without LPS,250,NO,NA,NA
9567,CD80,Without LPS,0,NO,193,0.0
9567,CD80,Without LPS,0,YES,210,8.8
9567,CD80,Without LPS,31.25,NO,1251,548.2
9567,CD80,Without LPS,62.5,NO,249,29.0
9567,CD80,Without LPS,125,NO,275,42.5
9567,CD80,Without LPS,250,NO,NA,NA
9567,CD86,Without LPS,0,NO,880,0.0
9567,CD86,Without LPS,0,YES,971,10.3
9567,CD86,Without LPS,31.25,NO,946,7.5
9567,CD86,Without LPS,62.5,NO,794,-9.8
9567,CD86,Without LPS,125,NO,587,-33.3
9567,CD86,Without LPS,250,NO,NA,NA
9906,MHCII,Without LPS,0,NO,10770,0.0
9906,MHCII,Without LPS,0,YES,10449,-3.0
9906,MHCII,Without LPS,31.25,NO,7663,-28.8
9906,MHCII,Without LPS,62.5,NO,5932,-44.9
9906,MHCII,Without LPS,125,NO,NA,NA
9906,MHCII,Without LPS,250,NO,2982,-72.3
9906,CD40,Without LPS,0,NO,541,0.0
9906,CD40,Without LPS,0,YES,532,-1.7
9906,CD40,Without LPS,31.25,NO,621,14.8
9906,CD40,Without LPS,62.5,NO,610,12.8
9906,CD40,Without LPS,125,NO,NA,NA
9906,CD40,Without LPS,250,NO,633,17.0
9906,CD80,Without LPS,0,NO,156,0.0
9906,CD80,Without LPS,0,YES,151,-3.2
9906,CD80,Without LPS,31.25,NO,156,0.0
9906,CD80,Without LPS,62.5,NO,153,-1.9
9906,CD80,Without LPS,125,NO,NA,NA
9906,CD80,Without LPS,250,NO,151,-3.2
9906,CD86,Without LPS,0,NO,1162,0.0
9906,CD86,Without LPS,0,YES,1188,2.2
9906,CD86,Without LPS,31.25,NO,1075,-7.5
9906,CD86,Without LPS,62.5,NO,1056,-9.1
9906,CD86,Without LPS,125,NO,NA,NA
9906,CD86,Without LPS,250,NO,938,-19.3
1973,MHCII,With LPS,0,NO,3792,-26.8
1973,MHCII,With LPS,0,YES,3594,-30.6
1973,MHCII,With LPS,31.25,NO,2002,-61.3
1973,MHCII,With LPS,62.5,NO,1555,-70.0
1973,MHCII,With LPS,125,NO,1434,-72.3
1973,MHCII,With LPS,250,NO,1960,-62.1
1973,CD40,With LPS,0,NO,2066,292.0
1973,CD40,With LPS,0,YES,1667,216.3
1973,CD40,With LPS,31.25,NO,1623,208.0
1973,CD40,With LPS,62.5,NO,1510,186.5
1973,CD40,With LPS,125,NO,1543,192.8
1973,CD40,With LPS,250,NO,1238,134.9
1973,CD80,With LPS,0,NO,1136,552.9
1973,CD80,With LPS,0,YES,1592,814.9
1973,CD80,With LPS,31.25,NO,NA,NA
1973,CD80,With LPS,62.5,NO,492,182.8
1973,CD80,With LPS,125,NO,461,164.9
1973,CD80,With LPS,250,NO,313,79.9
1973,CD86,With LPS,0,NO,612,-57.3
1973,CD86,With LPS,0,YES,618,-56.9
1973,CD86,With LPS,31.25,NO,658,-54.1
1973,CD86,With LPS,62.5,NO,719,-49.9
1973,CD86,With LPS,125,NO,704,-50.9
1973,CD86,With LPS,250,NO,627,-56.3
9567,MHCII,With LPS,0,NO,2550,-38.0
9567,MHCII,With LPS,0,YES,NA,NA
9567,MHCII,With LPS,31.25,NO,1427,-65.3
9567,MHCII,With LPS,62.5,NO,1541,-62.5
9567,MHCII,With LPS,125,NO,1753,-57.3
9567,MHCII,With LPS,250,NO,1169,-71.6
9567,CD40,With LPS,0,NO,2020,487.2
9567,CD40,With LPS,0,YES,NA,NA
9567,CD40,With LPS,31.25,NO,1486,332.0
9567,CD40,With LPS,62.5,NO,1330,286.6
9567,CD40,With LPS,125,NO,1279,271.8
9567,CD40,With LPS,250,NO,1169,239.8
9567,CD80,With LPS,0,NO,1323,585.5
9567,CD80,With LPS,0,YES,NA,
9567,CD80,With LPS,31.25,NO,911,372.0
9567,CD80,With LPS,62.5,NO,699,262.2
9567,CD80,With LPS,125,NO,557,188.6
9567,CD80,With LPS,250,NO,717,271.5
9567,CD86,With LPS,0,NO,391,-55.6
9567,CD86,With LPS,0,YES,NA,NA
9567,CD86,With LPS,31.25,NO,447,-49.2
9567,CD86,With LPS,62.5,NO,474,-46.1
9567,CD86,With LPS,125,NO,451,-48.8
9567,CD86,With LPS,250,NO,456,-48.2
9906,MHCII,With LPS,0,NO,4243,-60.6
9906,MHCII,With LPS,0,YES,4024,-62.6
9906,MHCII,With LPS,31.25,NO,3086,-71.3
9906,MHCII,With LPS,62.5,NO,2483,-76.9
9906,MHCII,With LPS,125,NO,2451,-77.2
9906,MHCII,With LPS,250,NO,2892,-73.1
9906,CD40,With LPS,0,NO,2377,339.4
9906,CD40,With LPS,0,YES,2128,293.3
9906,CD40,With LPS,31.25,NO,1454,168.8
9906,CD40,With LPS,62.5,NO,1371,153.4
9906,CD40,With LPS,125,NO,1333,146.4
9906,CD40,With LPS,250,NO,1196,121.1
9906,CD80,With LPS,0,NO,891,471.2
9906,CD80,With LPS,0,YES,885,467.3
9906,CD80,With LPS,31.25,NO,462,196.2
9906,CD80,With LPS,62.5,NO,368,135.9
9906,CD80,With LPS,125,NO,323,107.1
9906,CD80,With LPS,250,NO,290,85.9
9906,CD86,With LPS,0,NO,683,-41.2
9906,CD86,With LPS,0,YES,735,-36.7
9906,CD86,With LPS,31.25,NO,666,-42.7
9906,CD86,With LPS,62.5,NO,705,-39.3
9906,CD86,With LPS,125,NO,642,-44.8
9906,CD86,With LPS,250,NO,572,-50.8
